,name,reviews.username,reviews.rating,cleanliness,food,comfortable
0,Hotel Russo Palace,Russ (kent),4.0,5,4,3
1,Hotel Russo Palace,A Traveler,5.0,5,4,5
2,Hotel Russo Palace,Maud,5.0,5,4,4
3,Hotel Russo Palace,Julie,5.0,5,4,4
4,Hotel Russo Palace,sungchul,5.0,5,4,4
5,Hotel Russo Palace,A Traveler,5.0,5,5,4
6,Hotel Russo Palace,A Traveler,4.0,3,4,5
7,Hotel Russo Palace,A Traveler,4.0,5,3,4
8,Hotel Russo Palace,Doppeldecker,3.0,2,4,2
9,Hotel Russo Palace,A Traveler,4.0,5,5,4
10,Hotel Russo Palace,Couple,4.0,3,4,3
11,Hotel Russo Palace,ahsas,3.0,2,3,4
12,Hotel Russo Palace,ahsas,4.0,5,5,3
13,Hotel Russo Palace,A Traveler,4.0,3,4,4
14,Hotel Russo Palace,Elisabet,4.0,5,4,5
15,Hotel Russo Palace,Mark W,4.0,3,4,4
16,Hotel Russo Palace,Mrs Gardner,4.0,4,4,5
17,Hotel Russo Palace,A Traveler,4.0,5,3,4
18,Hotel Russo Palace,A Traveler,4.0,5,4,3
19,Hotel Russo Palace,A Traveler,1.0,2,2,1
20,Hotel Russo Palace,A Traveler,1.0,2,2,2
21,Hotel Russo Palace,Simon,5.0,5,5,5
22,Hotel Russo Palace,A Traveler,4.0,5,3,5
23,Hotel Russo Palace,Martyn,5.0,4,5,5
24,Hotel Russo Palace,J��rgen + Sandra,5.0,5,4,4
25,Hotel Russo Palace,A & D,5.0,4,5,4
26,Hotel Russo Palace,Niklas,4.0,5,3,4
27,Hotel Russo Palace,G��nni,4.0,5,4,3
28,Hotel Russo Palace,A Traveler,4.0,5,5,3
29,Hotel Russo Palace,Armando,4.0,4,3,4
30,Hotel Russo Palace,A Traveler,5.0,5,5,4
31,Hotel Russo Palace,serge,4.0,3,4,3
32,Hotel Russo Palace,Mari_ana,4.0,4,5,3
33,Hotel Russo Palace,A Traveler,4.0,3,5,5
34,Hotel Russo Palace,A Traveler,3.0,2,2,2
35,Hotel Russo Palace,Olivier,4.0,5,5,5
36,Hotel Russo Palace,Richard,5.0,5,4,5
37,Hotel Russo Palace,christopher,4.0,5,3,5
38,Hotel Russo Palace,A Traveler,4.0,5,4,4
39,Hotel Russo Palace,Ulla Kosack,5.0,4,4,4
40,Hotel Russo Palace,A Traveler,4.0,3,4,4
41,Hotel Russo Palace,A Traveler,5.0,5,5,4
42,Hotel Russo Palace,A Traveler,3.0,3,2,3
43,Hotel Russo Palace,A Traveler,4.0,3,4,5
44,Hotel Russo Palace,A Traveler,2.0,2,3,1
45,Hotel Russo Palace,Matthew,3.0,2,2,4
46,Hotel Russo Palace,Jabs,4.0,4,5,4
47,Hotel Russo Palace,A Traveler,4.0,5,3,5
48,Hotel Russo Palace,A Traveler,4.0,3,3,5
49,Hotel Russo Palace,A Traveler,5.0,4,4,5
50,Hotel Russo Palace,A Traveler,4.0,4,5,3
51,Hotel Russo Palace,A Traveler,4.0,3,4,3
52,Hotel Russo Palace,Andrew,4.0,5,5,3
53,Hotel Russo Palace,A Traveler,4.0,3,5,3
54,Hotel Russo Palace,A Traveler,5.0,5,5,4
55,Hotel Russo Palace,A Traveler,5.0,4,4,4
56,Hotel Russo Palace,Kim,4.0,3,3,5
57,Americas Best Value Inn,write a review,0.0,1,1,1
58,Intermezzo,write a review,0.0,1,1,1
59,Studio 6,write a review,0.0,1,1,1
60,Little Paradise Hotel,Flo H,5.0,4,4,5
61,Little Paradise Hotel,Julie R,5.0,5,5,5
62,Little Paradise Hotel,martin n,5.0,5,4,5
63,Little Paradise Hotel,shetravels66,5.0,4,5,4
64,Little Paradise Hotel,Mary Ellen R,5.0,4,4,4
65,Little Paradise Hotel,Michael C,5.0,4,5,5
66,Little Paradise Hotel,Bill R,5.0,4,5,5
67,Little Paradise Hotel,EnzoTemko,5.0,5,5,4
68,Little Paradise Hotel,B C,5.0,4,4,4
69,Little Paradise Hotel,wpdesousa-mauk,5.0,4,4,4
70,Little Paradise Hotel,Chris_Audrey,4.0,4,4,5
71,Little Paradise Hotel,Sam M,5.0,4,5,4
72,Little Paradise Hotel,southseacarrie,5.0,4,4,5
73,Little Paradise Hotel,jackoNEEngland,5.0,5,4,5
74,Little Paradise Hotel,MarcvonBern,5.0,5,5,5
75,Little Paradise Hotel,laradc,5.0,4,4,4
76,Little Paradise Hotel,ptnp02,4.0,5,5,3
77,Little Paradise Hotel,Terri B,5.0,4,5,5
78,Little Paradise Hotel,clemensn0npapa,5.0,4,5,5
79,Little Paradise Hotel,write a review,0.0,1,1,1
80,Little Paradise Hotel,Paul S,4.0,5,5,4
81,Comfort Suites,BucketBound,4.0,3,4,3
82,Comfort Suites,Wesley P,1.0,2,2,1
83,Comfort Suites,jktmrose,5.0,4,5,5
84,Comfort Suites,KatieG958,4.0,4,3,3
85,Comfort Suites,Isaac D. T,2.0,2,2,3
86,Comfort Suites,WinchesterWanderlust,5.0,4,5,4
87,Comfort Suites,Paul Z,5.0,4,5,5
88,Comfort Suites,RenLew,4.0,4,3,3
89,Comfort Suites,Jennifer R,4.0,5,5,5
90,Comfort Suites,TexasTigger23,4.0,5,3,5
91,Comfort Suites,Shante W,1.0,2,2,2
92,Comfort Suites,henry l,5.0,5,5,4
93,Comfort Suites,Del C,4.0,3,4,4
94,Comfort Suites,Brandon J,4.0,4,3,5
95,Comfort Suites,Sherry B,3.0,3,4,2
96,Thunderbird Executive Inn and Conference Center,az_gal,3.0,2,2,2
97,Little Belt Inn Neihart,write a review,0.0,1,1,1
98,Little Belt Inn Neihart,xxxxxxxxxxxxxx,0.0,1,1,1
99,Hawthorn Suites By Wyndham Livermore Wine Country,Carole,3.0,3,2,4
100,Hawthorn Suites By Wyndham Livermore Wine Country,John,2.0,3,3,1
101,Hawthorn Suites By Wyndham Livermore Wine Country,Melody,2.0,1,1,2
102,Hawthorn Suites By Wyndham Livermore Wine Country,Teresa,4.0,4,3,3
103,Hawthorn Suites By Wyndham Livermore Wine Country,Jodie,4.0,3,4,5
104,Hawthorn Suites By Wyndham Livermore Wine Country,Charlotte,5.0,5,5,4
105,Hawthorn Suites By Wyndham Livermore Wine Country,Charlotte,2.0,3,3,2
106,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,5,4
107,Hawthorn Suites By Wyndham Livermore Wine Country,Cheryl,5.0,4,5,4
